# Recognized email domains for universities in the QS 2025 institution catalog.
# Format: domain,institution enum value. Subdomains are recognized automatically.
mit.edu,MIT
imperial.ac.uk,IMPERIAL_COLLEGE_LONDON
ic.ac.uk,IMPERIAL_COLLEGE_LONDON
oxford.ac.uk,UNIVERSITY_OF_OXFORD
ox.ac.uk,UNIVERSITY_OF_OXFORD
harvard.edu,HARVARD_UNIVERSITY
cam.ac.uk,UNIVERSITY_OF_CAMBRIDGE
stanford.edu,STANFORD_UNIVERSITY
ethz.ch,ETH_ZURICH
nus.edu,NUS
nus.edu.sg,NUS
ucl.ac.uk,UCL
caltech.edu,CALTECH
upenn.edu,UPENN
seas.upenn.edu,UPENN
berkeley.edu,UC_BERKELEY
unimelb.edu,UNIVERSITY_OF_MELBOURNE
unimelb.edu.au,UNIVERSITY_OF_MELBOURNE
pku.edu.cn,PEKING_UNIVERSITY
ntu.edu.sg,NANYANG_TECHNOLOGICAL_UNIVERSITY
cornell.edu,CORNELL_UNIVERSITY
hku.hk,HKU
sydney.edu.au,UNIVERSITY_OF_SYDNEY
usyd.edu.au,UNIVERSITY_OF_SYDNEY
uni.sydney.edu.au,UNIVERSITY_OF_SYDNEY
unsw.edu.au,UNSW_SYDNEY
tsinghua.edu.cn,TSINGHUA_UNIVERSITY
uchicago.edu,UNIVERSITY_OF_CHICAGO
princeton.edu,PRINCETON_UNIVERSITY
yale.edu,YALE_UNIVERSITY
psl.eu,PSL_UNIVERSITY
utoronto.ca,UNIVERSITY_OF_TORONTO
toronto.edu,UNIVERSITY_OF_TORONTO
epfl.ch,EPFL
ed.ac.uk,UNIVERSITY_OF_EDINBURGH
tum.de,TUM
mcgill.ca,MCGILL_UNIVERSITY
anu.edu.au,ANU
snu.ac.kr,SEOUL_NATIONAL_UNIVERSITY
jh.edu,JOHNS_HOPKINS_UNIVERSITY
jhu.edu,JOHNS_HOPKINS_UNIVERSITY
johnshopkins.edu,JOHNS_HOPKINS_UNIVERSITY
u-tokyo.ac.jp,UNIVERSITY_OF_TOKYO
columbia.edu,COLUMBIA_UNIVERSITY
manchester.ac.uk,UNIVERSITY_OF_MANCHESTER
mbs.ac.uk,UNIVERSITY_OF_MANCHESTER
man.ac.uk,UNIVERSITY_OF_MANCHESTER
cuhk.edu.hk,CUHK
monash.edu,MONASH_UNIVERSITY
monash.edu.au,MONASH_UNIVERSITY
ubc.ca,UBC
fudan.edu.cn,FUDAN_UNIVERSITY
kcl.ac.uk,KCL
uq.edu.au,UNIVERSITY_OF_QUEENSLAND
ucla.edu,UCLA
nyu.edu,NYU
umich.edu,UNIVERSITY_OF_MICHIGAN
sjtu.edu.cn,SJTU
ip-paris.fr,INSTITUT_POLYTECHNIQUE_DE_PARIS
ust.hk,HKUST
connect.ust.hk,HKUST
zju.edu.cn,ZHEJIANG_UNIVERSITY
